exon,precision,recall
0,0.47747329307942404,0.9580615097856477
1,0.47747329307942404,0.9580615097856477
2,0.5129186602870813,0.9537366548042705
3,0.5620915032679739,0.9576837416481069
4,0.599640933572711,0.9681159420289855
5,0.6023529411764705,0.9770992366412213
6,0.6190476190476191,0.978494623655914
7,0.5887850467289719,0.9692307692307692
8,0.543859649122807,0.9841269841269841
9,0.23333333333333334,1.0
10,0.18518518518518517,1.0
11,0.13043478260869565,1.0
12,0.14285714285714285,1.0
13,0.15,1.0
14,0.16666666666666666,1.0
15,0.21428571428571427,1.0
16,0.2727272727272727,1.0
17,0.3333333333333333,1.0
18,0.25,1.0
19,0.25,1.0
20,0.3333333333333333,1.0
21,0.3333333333333333,1.0
22,0.3333333333333333,1.0
23,0.4,1.0
24,0.4,1.0
25,0.6666666666666666,1.0
26,0.6666666666666666,1.0
27,0.6666666666666666,1.0
28,0.5,1.0
29,0.5,1.0
30,0.5,1.0
31,0.5,1.0
32,0.5,1.0
33,0.5,1.0
34,0.5,1.0
35,0.5,1.0
36,0.5,1.0
