chr,numb_exons,decon,gatk,grapes,gc_content,mappability,cnv_length,decon_qual,gatk_qual,grapes_qual,sample_correlation,is_autosomal,genes_encoded,encoded_type,true_positive_encoded
5,4,1,1,1,39.0050831493957,0.1816243310344367,139086,14.2,598.53,0.93,0.878634391486529,1,1,0,1
10,1,1,1,1,33.19672131147541,1.0,243,3.66,50.87,1.0,0.878634391486529,1,28,0,1
12,1,1,1,1,33.71212121212121,0.8333333333333334,263,5.38,9.44,0.998,0.878634391486529,1,26,1,1
16,36,1,1,1,48.41064876491296,0.3723095176345773,134362,82.7,2448.77,0.998,0.878634391486529,1,114,1,1
18,7,1,1,1,37.240807298866464,0.5643772666666665,36169,39.4,262.92,1.0,0.878634391486529,1,120,1,1
7,1,1,0,0,20.0,1.0,219,2.78,,,0.878634391486529,1,104,0,1
23,2,1,0,0,40.54567022538553,0.3425668675675675,12644,3.4,,,0.878634391486529,0,37,0,1
3,2,1,1,1,45.06283662477559,1.0,3341,22.1,100.33,1.0,0.8909902203299392,1,54,1,1
3,1,1,1,1,32.60188087774294,1.0,318,9.19,35.49,0.997,0.8909902203299392,1,98,0,1
5,1,1,1,1,56.5686274509804,1.0,1019,16.0,29.28,1.0,0.8909902203299392,1,53,1,1
7,7,1,1,1,49.43639237873367,0.3358142164952889,300474,68.8,751.71,0.897,0.8909902203299392,1,62,0,1
5,1,1,0,0,28.57142857142857,1.0,251,2.77,,,0.8909902203299392,1,144,0,0
6,3,1,0,0,35.16806722689076,0.3752863031388888,4759,3.58,,,0.8909902203299392,1,103,0,0
9,1,1,0,0,81.13207547169812,1.0,423,4.97,,,0.8909902203299392,1,65,0,0
1,3,1,1,1,42.60060296238039,0.8,7628,25.7,29.37,0.952,0.8514932243152176,1,93,1,1
3,1,1,1,1,47.07692307692308,1.0,324,12.3,3.8,0.598,0.8514932243152176,1,67,1,1
19,3,1,1,1,63.62704261454663,0.4825826939393939,15604,44.8,368.04,0.85,0.8514932243152176,1,102,0,1
1,1,1,0,0,56.21621621621622,1.0,369,2.68,,,0.8514932243152176,1,124,0,0
5,1,1,0,0,78.09278350515464,0.8333333333333334,387,14.2,,,0.8514932243152176,1,131,0,1
5,3,1,0,0,35.53627084081614,0.1603591626807642,86308,15.7,,,0.8514932243152176,1,53,0,0
5,1,1,0,0,37.407407407407405,1.0,269,2.66,,,0.8514932243152176,1,1,1,0
12,4,1,0,0,37.69441903019214,0.6874998750000001,9836,14.9,,,0.8514932243152176,1,145,1,0
18,3,1,0,0,34.83448806774442,1.0,2597,8.18,,,0.8514932243152176,1,4,0,0
18,1,1,0,0,44.354838709677416,1.0,247,3.54,,,0.8514932243152176,1,120,1,0
2,4,0,1,0,37.60714716890016,0.8,8282,,113.93,,0.8509777169762306,1,116,1,0
10,1,1,1,0,30.327868852459016,1.0,243,6.57,79.91,,0.8509777169762306,1,7,0,0
10,1,1,1,1,50.872093023255815,1.0,343,9.74,25.12,0.713,0.8509777169762306,1,22,1,1
12,5,1,1,1,41.563474194665744,0.3743214083150185,46191,37.0,518.82,0.998,0.8509777169762306,1,5,0,1
15,1,1,1,0,52.8695652173913,1.0,574,19.7,285.53,,0.8509777169762306,1,71,0,1
1,1,1,0,0,40.909090909090914,1.0,219,3.13,,,0.8509777169762306,1,109,1,0
2,5,1,0,1,37.65410504707244,0.1410125494931193,260130,46.2,,1.0,0.8509777169762306,1,116,1,1
2,1,1,0,0,38.613861386138616,0.336111,403,8.1,,,0.8509777169762306,1,3,1,0
1,1,1,1,0,62.59541984732825,1.0,261,13.8,159.58,,0.8916560310476798,1,124,0,1
1,1,1,1,0,44.07894736842105,1.0,303,4.72,11.96,,0.8916560310476798,1,92,1,1
5,2,1,1,1,38.481404958677686,1.0,1935,30.5,70.78,0.994,0.8916560310476798,1,1,1,1
12,2,1,1,1,36.18421052631579,0.3147970208333334,5319,34.1,609.75,1.0,0.8916560310476798,1,39,0,1
10,1,1,0,0,59.27152317880795,1.0,301,4.0,,,0.8916560310476798,1,29,0,0
10,2,1,0,0,61.39978791092259,1.0,942,6.03,,,0.8916560310476798,1,29,0,0
19,2,1,0,0,57.26470148137064,0.6849999999999999,6682,5.8,,,0.8916560310476798,1,6,1,0
1,5,1,1,1,52.030812324929975,0.6666666,4283,24.6,263.38,1.0,0.8508011049489506,1,46,1,1
7,1,1,1,1,28.57142857142857,1.0,237,8.81,77.45,0.358,0.8508011049489506,1,104,0,1
11,1,1,1,1,63.806970509383376,1.0,372,3.35,19.65,0.411,0.8508011049489506,1,69,1,1
15,5,1,1,1,34.37785523332544,0.426576924,29550,24.3,824.99,0.982,0.8508011049489506,1,35,0,1
6,3,1,0,0,28.41619125237707,0.4247233166666666,3680,10.7,,,0.8508011049489506,1,103,0,0
6,3,1,0,1,34.371395617070355,1.0,5201,7.41,,0.923,0.8508011049489506,1,103,0,0
6,2,1,0,0,33.384191068599264,1.0,17040,6.83,,,0.8508011049489506,1,103,0,0
7,1,1,0,0,20.0,1.0,219,6.05,,,0.8508011049489506,1,104,0,0
7,1,1,0,0,26.984126984126984,1.0,251,2.36,,,0.8508011049489506,1,25,0,0
14,2,1,0,0,33.76029277218664,0.5712963333333333,2185,4.27,,,0.8508011049489506,1,80,0,0
15,1,1,0,0,31.521739130434785,1.0,275,3.63,,,0.8508011049489506,1,112,0,0
19,1,1,0,0,33.19672131147541,1.0,243,2.63,,,0.8508011049489506,1,133,0,0
23,1,1,0,0,27.40740740740741,1.0,269,3.55,,,0.8508011049489506,0,37,0,0
2,1,0,0,1,38.76739562624255,1.0,502,,,1.0,0.8508011049489506,1,3,1,0
2,1,0,0,1,39.36381709741551,1.0,502,,,0.994,0.8508011049489506,1,3,1,0
4,1,0,0,1,42.54473161033797,1.0,502,,,1.0,0.8508011049489506,1,58,1,0
4,1,0,0,1,48.5089463220676,1.0,502,,,0.996,0.8508011049489506,1,58,1,0
5,1,0,0,1,36.18421052631579,1.0,151,,,0.605,0.8508011049489506,1,144,0,0
6,1,0,0,1,44.606413994169095,1.0,1028,,,0.994,0.8508011049489506,1,34,1,0
7,1,0,0,1,37.67258382642998,1.0,506,,,0.968,0.8508011049489506,1,126,1,0
7,1,0,0,1,57.14285714285714,1.0,90,,,0.869,0.8508011049489506,1,105,0,0
14,1,0,0,1,53.06122448979592,1.0,48,,,0.617,0.8508011049489506,1,141,1,0
1,1,0,1,0,33.85416666666667,1.0,383,,23.41,,0.7826396263453821,1,44,0,0
2,1,0,1,0,69.42675159235668,1.0,156,,3.78,,0.7826396263453821,1,64,1,0
2,5,1,1,1,39.99058363363092,0.3720843896444445,55222,21.0,67.11,0.998,0.7826396263453821,1,116,1,1
2,1,0,1,0,28.87323943661972,1.0,141,,7.27,,0.7826396263453821,1,3,1,0
3,5,1,1,1,40.40362194472392,0.2934390114712644,67587,23.3,274.65,0.996,0.7826396263453821,1,54,0,1
17,1,1,1,0,34.090909090909086,1.0,219,5.35,49.79,,0.7826396263453821,1,128,0,1
2,8,1,0,0,36.411760813463616,0.3276237007000001,45336,13.3,,,0.7826396263453821,1,64,1,0
3,1,1,0,0,47.03947368421053,1.0,303,2.94,,,0.7826396263453821,1,113,1,0
4,7,1,0,0,39.9817415119767,0.4316060443090908,23002,29.5,,,0.7826396263453821,1,107,0,0
6,2,1,0,0,28.379310344827584,1.0,2899,3.22,,,0.7826396263453821,1,103,0,0
7,3,1,0,0,31.842456608811748,1.0,5991,4.03,,,0.7826396263453821,1,104,0,0
7,2,1,0,0,27.135231316725974,1.0,1123,9.49,,,0.7826396263453821,1,126,0,0
15,1,1,0,1,51.24653739612188,1.0,360,4.25,,0.969,0.7826396263453821,1,61,1,1
2,1,0,0,1,42.85714285714285,1.0,1532,,,0.989,0.7826396263453821,1,3,1,0
2,1,0,0,1,43.63395225464191,1.0,753,,,0.857,0.7826396263453821,1,3,1,0
2,2,0,0,1,41.578947368421055,1.0,759,,,0.934,0.7826396263453821,1,3,1,0
2,1,0,0,1,41.07142857142857,1.0,671,,,1.0,0.7826396263453821,1,3,1,0
4,1,0,0,1,43.35490293678447,1.0,2008,,,0.976,0.7826396263453821,1,58,1,0
6,1,0,0,1,44.04145077720207,1.0,771,,,1.0,0.7826396263453821,1,34,1,0
6,1,0,0,1,48.932038834951456,1.0,514,,,0.939,0.7826396263453821,1,34,1,0
6,1,0,0,1,44.60719041278296,1.0,750,,,1.0,0.7826396263453821,1,34,1,0
7,1,0,0,1,30.54862842892768,1.0,801,,,0.945,0.7826396263453821,1,126,1,0
7,1,0,0,1,50.505050505050505,1.0,98,,,0.814,0.7826396263453821,1,137,1,0
10,2,0,0,1,35.05882352941177,1.0,424,,,0.871,0.7826396263453821,1,95,1,0
14,1,0,0,1,35.30280649926144,1.0,676,,,1.0,0.7826396263453821,1,80,1,0
17,1,0,0,1,49.122807017543856,1.0,113,,,0.831,0.7826396263453821,1,117,1,0
18,1,0,0,1,46.21212121212121,1.0,263,,,0.999,0.7826396263453821,1,4,1,0
1,8,1,1,1,42.50159622015068,0.43613235,78309,119.0,803.39,1.0,0.8733349664781604,1,27,1,1
3,1,1,1,1,62.13235294117647,1.0,271,14.9,105.52,0.847,0.8733349664781604,1,90,1,1
3,1,0,1,0,47.21407624633432,1.0,340,,234.4,,0.8733349664781604,1,67,0,0
3,2,1,0,1,44.783142389525366,0.8333333333333334,4887,25.8,,0.998,0.8733349664781604,1,67,0,1
23,1,1,0,0,33.57664233576642,1.0,273,5.79,,,0.8733349664781604,0,21,0,1
2,3,1,1,1,46.55027786515676,0.3936067682926828,19073,21.0,678.06,1.0,0.8447059099114989,1,127,0,1
3,5,1,1,1,41.177274279858814,0.2920453004347826,43914,31.8,232.59,0.966,0.8447059099114989,1,54,1,1
7,1,0,1,1,33.33333333333333,1.0,131,,43.08,0.2,0.8447059099114989,1,104,1,0
12,1,1,1,0,30.909090909090907,1.0,219,5.63,40.03,,0.8447059099114989,1,39,0,1
2,1,1,0,0,60.45454545454545,1.0,219,2.51,,,0.8447059099114989,1,115,1,0
2,1,1,0,0,38.613861386138616,0.336111,403,13.0,,,0.8447059099114989,1,3,0,0
7,2,1,0,0,31.72166794576618,0.1788309703809524,3908,8.81,,,0.8447059099114989,1,104,1,1
23,22,1,0,0,34.08108437440161,0.1217799426198042,172338,18.3,,,0.8447059099114989,0,21,1,0
23,3,1,0,0,35.601597117397866,0.7333333,41073,3.99,,,0.8447059099114989,0,21,1,0
23,4,1,0,0,40.38669684148382,0.3433152160714287,20325,4.07,,,0.8447059099114989,0,37,1,0
6,1,0,0,1,42.85714285714285,1.0,104,,,0.709,0.8447059099114989,1,59,1,0
14,1,0,0,1,52.94117647058824,1.0,84,,,0.97,0.8447059099114989,1,141,1,0
16,1,0,0,1,61.8421052631579,1.0,227,,,0.524,0.8447059099114989,1,114,1,0
1,2,1,1,1,37.87696019300362,0.2719219407407408,2486,38.0,50.41,1.0,0.8981575474110608,1,32,1,1
4,1,1,1,1,49.60629921259843,1.0,253,17.1,75.14,0.91,0.8981575474110608,1,58,1,1
9,1,1,1,1,32.11267605633803,1.0,354,21.4,557.83,0.56,0.8981575474110608,1,51,0,1
10,2,1,1,1,37.263033175355446,1.0,1687,34.4,570.95,0.901,0.8981575474110608,1,28,0,1
10,1,1,0,0,44.50704225352113,1.0,354,2.85,,,0.8981575474110608,1,7,0,0
6,1,1,1,1,44.02985074626866,1.0,267,12.1,36.82,0.441,0.8953319236028184,1,96,1,1
7,1,1,1,1,30.32258064516129,1.0,309,10.9,263.99,0.697,0.8953319236028184,1,104,0,1
10,5,1,1,1,37.16140742809272,1.0,14323,41.4,305.75,1.0,0.8953319236028184,1,28,1,1
20,4,1,1,1,48.22239692522711,0.3880144571830986,45791,41.3,1476.13,1.0,0.8953319236028184,1,43,0,1
2,1,1,0,0,38.613861386138616,0.336111,403,5.87,,,0.8953319236028184,1,3,0,0
6,7,1,0,0,36.81242208963172,0.270244116,82626,31.5,,,0.8953319236028184,1,59,0,0
10,1,1,0,0,43.98496240601504,1.0,265,4.85,,,0.8953319236028184,1,101,0,0
10,6,1,0,0,47.90453460620525,0.3894502303999999,20949,17.8,,,0.8953319236028184,1,125,0,0
19,2,1,0,0,58.744394618834086,1.0,1114,2.67,,,0.8953319236028184,1,108,1,0
22,1,1,0,0,61.891117478510026,1.0,348,6.59,,,0.8953319236028184,1,70,0,0
3,8,1,1,1,45.29536390827518,0.2511847839344261,16047,69.1,290.05,1.0,0.8854400256714655,1,113,1,1
4,1,1,1,1,74.52380952380952,1.0,419,12.2,3.46,0.403,0.8854400256714655,1,107,1,1
10,8,1,1,1,35.65140507949934,0.2120184895447681,600570,82.7,1767.39,1.0,0.8854400256714655,1,7,0,1
6,1,1,0,1,48.07541241162608,0.75,1272,13.2,,1.0,0.8854400256714655,1,8,0,1
1,1,1,1,1,56.32911392405063,1.0,315,11.8,77.58,0.583,0.8617439512689407,1,42,1,1
9,3,0,1,0,37.51746372917786,0.625,9304,,426.16,,0.8617439512689407,1,65,1,1
10,6,1,1,1,44.54658949040972,1.0,8810,56.5,1796.9,0.999,0.8617439512689407,1,22,0,1
15,1,1,1,1,48.65771812080537,1.0,297,8.66,229.52,0.918,0.8617439512689407,1,61,0,1
16,36,1,1,1,48.41064876491296,0.3723095176345773,134362,129.0,3076.53,0.918,0.8617439512689407,1,114,1,0
1,7,1,0,0,51.957282789348994,0.5039729530120484,28278,8.42,,,0.8617439512689407,1,124,1,0
1,2,1,0,0,40.06211180124223,1.0,643,3.86,,,0.8617439512689407,1,100,0,0
3,7,1,0,0,39.549691813967705,0.327366984920635,19630,19.4,,,0.8617439512689407,1,98,0,0
9,4,1,0,1,38.91942498187968,0.625,33111,40.3,,0.679,0.8617439512689407,1,65,1,1
14,3,1,0,0,33.34361505243677,0.2931393189285715,3241,3.87,,,0.8617439512689407,1,80,1,0
15,1,1,0,0,38.76811594202898,1.0,275,2.56,,,0.8617439512689407,1,112,1,0
22,1,1,0,0,61.891117478510026,1.0,348,2.91,,,0.8617439512689407,1,70,0,0
1,2,1,1,1,40.06211180124223,1.0,643,4.35,296.92,1.0,0.8954860831044705,1,100,0,0
1,5,1,1,1,40.872797356828194,0.1545721468114755,36319,14.6,270.98,1.0,0.8954860831044705,1,92,1,1
5,1,1,1,1,29.069767441860467,1.0,257,2.77,79.5,0.598,0.8954860831044705,1,144,1,1
17,1,1,1,1,62.23021582733813,1.0,277,3.49,284.32,0.414,0.8954860831044705,1,117,0,1
23,119,1,0,0,38.07684707028962,0.1926618223395585,122509549,294.0,,,0.8954860831044705,0,21,1,0
2,1,0,0,1,50.45045045045045,0.333333,110,,,0.819,0.8954860831044705,1,3,1,0
1,8,1,1,1,42.50159622015068,0.43613235,78309,135.0,3004.34,1.0,0.8498585764477754,1,27,0,1
1,3,1,1,1,44.25373134328358,0.2740002659277108,6699,43.6,173.39,1.0,0.8498585764477754,1,100,1,1
7,1,1,1,0,44.29530201342282,1.0,297,12.1,27.56,,0.8498585764477754,1,62,1,1
5,1,1,0,0,54.92424242424242,0.4722221111111112,263,5.59,,,0.8498585764477754,1,131,0,1
9,3,1,1,1,35.29048752534602,0.6655612380952382,11342,39.3,276.77,1.0,0.8992949337068663,1,51,1,1
14,8,1,1,1,39.03464956096535,0.3061325848859648,57056,85.8,2196.08,0.973,0.8992949337068663,1,80,0,1
17,1,1,1,1,53.73961218836565,1.0,360,14.8,67.59,0.851,0.8992949337068663,1,117,1,1
1,1,1,0,0,56.21621621621622,1.0,369,5.01,,,0.8992949337068663,1,124,0,0
1,7,1,0,0,51.16145133422921,0.498609155135135,10417,12.9,,,0.8992949337068663,1,46,1,0
6,2,1,0,0,27.37262737262737,0.4247233166666666,1000,7.71,,,0.8992949337068663,1,103,1,0
7,1,1,0,0,38.18181818181819,1.0,219,3.35,,,0.8992949337068663,1,25,0,0
7,1,1,0,0,60.45454545454545,1.0,219,7.33,,,0.8992949337068663,1,105,0,1
10,1,1,0,0,38.671875,1.0,255,3.58,,,0.8992949337068663,1,28,0,0
10,3,1,0,0,38.39573918657198,0.4373736666666666,12391,3.9,,,0.8992949337068663,1,28,0,0
11,3,1,0,0,50.11978917105894,1.0,4173,7.62,,,0.8992949337068663,1,142,0,0
7,1,1,1,1,31.72205438066465,1.0,330,10.1,88.19,0.624,0.8951921933570708,1,126,0,1
9,5,1,1,1,36.14899173074133,0.1041207251513943,27571,37.5,945.13,0.943,0.8951921933570708,1,51,0,1
